quantity,component,metric,value
orientation,all,mean_deg,0.565684680736714
orientation,all,median_deg,0.5121435155168617
orientation,all,p95_deg,1.1407367904339036
orientation,all,maximum_deg,3.7239171884875417
orientation,all,count,10500
angular_velocity,x,rmse,0.5235550874191968
angular_velocity,x,mae,0.37280901619490414
angular_velocity,x,bias,0.07214742739126086
angular_velocity,x,r2,0.9991448251115421
angular_velocity,x,pearson,0.9996532699158157
angular_velocity,x,count,10500
angular_velocity,y,rmse,0.8765326754373023
angular_velocity,y,mae,0.40333969250747137
angular_velocity,y,bias,-0.047930745718025025
angular_velocity,y,r2,0.9974243431262465
angular_velocity,y,pearson,0.9987330459532298
angular_velocity,y,count,10500
angular_velocity,z,rmse,0.5173325293590867
angular_velocity,z,mae,0.36780109548568723
angular_velocity,z,bias,0.03970401876313346
angular_velocity,z,r2,0.9991260122567057
angular_velocity,z,pearson,0.9996028554660396
angular_velocity,z,count,10500
